SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause,TaskAssigned,HumanFactor,EnvironmentFactor,EventType,SourceInjury,PartBody,ProjType, ProjCost,EndUse
202654687,1,4,2,1,2,3,1,2,2,1,2,4,1,4,2
202509832,1,1,2,1,2,2,1,2,2,1,3,3,2,1,2
202614806,1,2,1,2,1,1,1,2,2,1,1,1,1,1,2
200626711,2,1,4,2,1,1,1,5,1,1,1,1,1,1,3
202649232,2,2,3,2,2,2,1,2,2,1,3,1,1,2,2
202614673,2,1,1,2,2,2,1,1,4,1,3,1,2,1,2
202493359,2,2,2,2,2,3,2,5,1,1,2,1,1,5,2
201129400,1,1,3,1,2,3,2,1,1,1,5,4,2,2,2
202493243,1,1,2,1,2,4,1,6,1,1,1,2,2,1,2
200203792,2,1,1,2,1,1,1,5,1,1,5,1,1,4,2
201023876,1,1,2,2,2,4,1,6,1,1,2,4,1,3,2
201128832,1,1,3,2,3,2,1,2,2,1,5,2,1,3,1
202614202,1,2,1,3,2,2,1,2,2,1,2,1,1,6,4
201496452,1,1,2,1,2,3,1,2,1,1,5,4,1,2,1
200776615,3,4,1,2,1,4,1,5,1,1,5,2,2,2,2
201023728,1,3,2,1,2,3,1,1,1,1,1,1,1,4,2
201023678,2,3,2,1,2,1,1,1,1,1,1,1,2,2,3
200776433,1,1,1,3,2,4,1,7,1,1,1,2,2,3,2
200776417,1,1,1,3,1,1,1,1,2,1,1,1,3,1,4
200922565,2,2,3,1,1,1,1,4,2,1,4,1,3,1,2
202521092,1,2,3,2,3,5,1,3,1,1,1,2,1,2,3
201763778,2,2,3,2,3,1,1,1,2,1,4,3,1,2,1
201371432,2,2,1,3,1,1,2,3,1,1,4,1,1,2,2
201408333,2,3,3,3,2,2,1,2,2,1,3,1,3,1,2
200776078,1,1,1,1,2,4,1,2,1,1,1,2,2,1,4
201023074,1,1,1,2,1,1,1,3,2,1,1,5,1,2,2
202456893,1,1,2,1,2,1,1,2,1,1,5,2,1,5,2
201371382,2,4,1,2,1,1,1,3,1,1,5,1,1,2,1
202251997,1,1,1,2,2,4,2,2,1,1,1,5,2,1,2
200003002,2,3,3,3,1,1,1,3,1,1,1,1,2,3,1
202504692,2,2,2,1,2,1,1,1,2,1,4,1,3,2,2
200533081,2,3,3,1,2,2,1,4,3,1,5,1,2,1,2
200541860,2,4,1,2,1,4,1,3,2,1,3,2,2,1,2
201204187,1,1,2,2,2,4,1,1,1,1,3,2,1,4,4
201638525,1,1,1,3,1,1,1,1,1,1,2,2,1,3,1
201127073,1,1,4,2,1,1,1,1,1,1,2,2,1,6,2
201638517,1,1,1,2,2,4,1,4,1,1,2,4,2,1,2
201044146,1,1,1,2,2,3,1,2,2,1,2,2,1,3,4
201491750,2,3,2,1,2,3,1,1,1,1,2,1,1,4,2
202540001,1,1,3,2,2,2,1,4,4,1,3,4,2,5,2
200758738,2,1,4,3,1,3,1,1,2,1,1,1,1,5,1
202518213,1,1,3,3,1,1,1,3,1,1,1,2,1,2,1
202518296,1,1,2,2,4,3,2,5,1,1,1,2,1,2,1
200775500,3,1,1,2,2,4,1,4,1,1,1,2,1,2,2
202518544,1,2,3,2,2,1,1,5,1,1,5,2,1,6,1
201924487,2,1,1,3,2,4,1,4,1,1,1,3,1,4,2
201637923,1,2,1,3,1,1,2,1,2,1,2,4,3,1,2
200677433,2,2,4,3,1,2,1,7,2,1,3,1,1,4,2
201720307,2,2,2,1,2,6,1,2,2,1,4,1,1,6,4
202518379,1,1,3,2,1,1,1,3,1,1,2,4,3,1,1
202079414,2,2,1,2,1,1,1,2,2,1,4,1,1,2,2
201072113,1,3,2,1,2,3,1,1,2,1,2,1,1,3,2
202448254,1,1,2,3,2,1,1,3,2,1,4,2,1,5,2
201942596,2,2,2,2,1,1,1,5,1,1,1,2,1,2,2
200462240,2,2,2,2,2,1,1,5,2,1,4,1,1,5,2
202454153,1,1,4,2,1,1,1,1,1,1,1,3,1,7,2
200801934,3,4,2,3,2,3,1,2,2,1,2,5,1,2,1
200801934,1,1,2,3,2,3,1,2,2,1,2,3,1,2,1
200881431,2,1,4,2,1,1,1,4,1,1,2,1,3,1,2
202474458,1,1,2,2,2,1,1,3,1,1,1,2,1,2,3
201622388,1,1,2,2,2,1,1,1,1,1,5,4,1,4,2
201862943,2,2,1,2,2,4,1,2,2,1,4,1,1,2,2
200784304,2,2,3,3,2,6,2,3,1,1,2,2,1,3,4
200083129,1,1,1,3,1,4,1,3,2,1,5,4,3,1,4
170835631,1,1,2,3,1,1,1,3,1,1,5,2,2,3,1
200263218,2,3,1,3,2,1,2,1,1,1,3,1,2,1,4
200603678,2,2,1,2,1,1,1,1,1,1,2,3,1,4,2
200713196,2,1,4,2,1,1,1,5,1,1,5,1,1,3,2
202485165,1,2,4,2,1,1,1,3,4,1,2,1,1,4,1
202341822,2,3,1,3,1,1,1,5,1,1,2,1,2,2,1
201203650,1,1,3,2,2,4,1,2,2,1,4,5,2,2,1
202516159,1,1,2,2,1,5,1,1,1,1,1,2,1,2,1
202516241,1,1,2,2,1,5,1,1,1,1,1,2,1,2,1
201636610,1,1,1,2,1,1,1,1,1,1,1,4,2,1,2
201282571,2,2,1,1,2,2,2,1,2,1,3,1,2,5,1
202461877,2,2,1,3,1,1,1,1,1,1,1,1,1,2,1
200462125,2,3,4,2,1,4,1,5,1,1,1,1,1,1,4
201183274,1,3,2,1,2,3,1,1,1,1,1,1,1,2,4
201038650,1,1,3,2,2,1,1,1,1,1,1,2,2,4,2
201371101,2,1,1,2,1,1,2,2,2,1,5,1,3,1,2
200170785,2,3,1,2,4,1,2,1,2,1,2,3,2,2,3
201507027,1,1,1,1,2,3,1,1,1,1,1,5,1,3,2
200623973,2,4,4,2,1,1,1,1,1,1,5,1,3,1,1
201353182,2,1,1,3,4,3,2,7,1,1,1,2,1,7,1
202443750,1,4,2,1,2,5,1,2,1,1,1,1,1,5,2
200531143,2,2,2,2,2,3,1,2,1,1,4,1,1,4,2
201148293,1,2,3,2,3,6,1,2,1,1,1,2,1,4,1
201506755,1,1,2,1,2,5,1,1,2,1,1,2,1,6,4
201992476,1,1,2,2,2,3,1,6,4,1,5,2,1,3,1
201506664,1,1,1,1,2,5,1,1,1,1,1,5,1,2,2
201272457,2,1,1,3,3,1,1,7,1,1,2,1,1,4,1
200032696,2,2,1,3,2,1,2,1,1,1,1,2,1,7,3
202450474,2,4,1,2,1,1,1,1,1,1,1,1,3,1,1
201488491,1,1,2,2,2,3,1,1,1,1,5,3,1,5,3
300833019,1,1,2,1,2,2,1,2,1,1,3,3,1,2,2
201179017,1,4,2,2,2,4,1,2,2,1,4,4,1,4,2
170368682,2,2,2,2,2,1,1,1,1,1,2,1,1,5,1
200774255,1,4,1,2,1,4,1,6,2,1,1,4,1,2,2
201069671,1,1,2,1,2,2,1,4,1,1,3,2,2,2,2
201107216,1,1,2,1,2,2,1,1,1,1,3,4,1,4,3
200923274,2,2,3,2,2,1,1,5,1,1,2,2,1,1,2
201147303,2,2,2,3,1,1,1,2,2,1,4,1,1,6,1
201522471,2,3,1,2,2,3,1,1,1,1,1,1,1,2,2
200774180,1,1,1,2,2,1,1,6,2,1,4,3,1,4,1
201147204,1,1,3,1,1,1,1,2,2,1,4,2,3,1,2
170765853,1,1,2,1,2,4,1,4,1,1,1,5,1,2,2
202315602,2,1,3,3,1,1,1,2,1,1,1,1,1,3,2
202441895,1,1,2,2,2,2,1,4,2,1,3,2,1,4,2
201106242,2,2,3,3,2,1,1,7,1,1,1,3,1,7,4
202451555,1,1,3,1,2,1,1,5,2,1,5,5,2,3,2
201772845,2,3,1,1,2,3,1,5,1,1,2,1,1,1,2
201261815,2,2,1,2,2,2,1,2,1,1,3,1,2,1,2
201020534,1,3,2,2,1,1,1,3,1,1,2,1,1,4,3
201119070,2,2,2,2,2,3,1,2,2,1,4,1,1,3,2
201261799,1,1,4,3,1,1,1,1,1,1,1,4,1,4,2
170868202,1,1,2,1,2,5,1,1,3,1,5,4,1,2,2
201037272,1,3,2,2,2,1,1,1,1,1,1,1,2,2,2
201780806,2,1,4,2,1,1,2,3,1,1,1,1,1,2,1
200921716,2,1,1,2,1,5,2,1,1,1,1,2,3,1,3
202344909,2,1,1,2,2,4,1,1,1,1,2,2,1,4,2
200570901,2,3,1,2,1,4,1,3,1,1,1,1,2,1,2
201572773,2,3,1,3,2,3,1,5,1,1,2,1,2,3,3
200980514,2,2,2,2,2,1,1,1,1,1,1,2,1,1,3
201166105,1,2,3,2,2,4,1,2,2,1,4,2,1,4,2
201125168,1,4,1,2,1,1,1,1,1,1,2,2,2,3,3
201176609,1,1,2,1,2,1,1,2,2,1,2,4,1,4,2
201036381,1,2,2,2,2,1,1,6,1,1,2,2,2,2,2
170839237,1,1,2,2,2,1,1,3,1,1,1,4,1,4,2
202075925,3,4,1,2,1,1,1,1,1,1,1,1,2,2,2
201117959,1,2,4,2,1,2,1,1,2,1,3,4,1,3,4
200773588,1,1,1,1,2,5,1,6,2,1,1,3,1,4,1
201857778,2,1,4,2,1,1,1,3,1,1,1,3,3,2,1
201486644,1,2,2,2,2,3,1,1,1,1,5,3,1,3,4
201701687,1,1,1,1,2,1,1,6,1,1,1,4,1,1,3
202013975,2,1,2,3,1,2,1,4,1,1,3,3,1,4,4
200553261,2,2,4,2,1,1,2,1,2,1,2,2,3,1,1
201923059,2,3,1,3,1,1,1,1,1,1,1,1,1,5,3
202086617,2,4,3,3,1,1,1,1,1,1,1,1,1,2,1
200622728,2,2,3,2,1,2,1,2,2,1,3,1,1,1,3
201175676,1,1,3,2,2,5,1,1,2,1,4,2,1,5,2
201311099,2,1,1,1,2,4,1,1,1,1,5,1,3,1,2
201485976,1,1,2,1,2,1,1,4,1,1,5,5,1,5,3
201486164,1,1,2,2,1,1,1,6,1,1,5,3,1,6,2
170710842,1,1,2,2,2,4,1,2,2,1,1,5,1,4,2
201942075,2,3,2,3,1,1,1,5,1,1,5,1,3,1,1
201057684,1,4,3,2,2,1,1,5,1,1,1,1,1,5,3
201057684,1,4,3,2,2,1,1,5,1,1,1,3,1,5,3
201057684,1,3,3,2,2,1,1,5,1,1,1,3,1,5,3
200331361,2,2,1,3,1,1,1,1,1,1,1,3,1,3,3
201621380,1,1,1,1,1,1,1,5,1,1,1,2,1,6,3
201103926,1,1,2,1,2,4,1,3,1,1,1,2,1,3,2
201173713,1,1,2,1,2,4,1,2,2,1,4,3,1,5,2
201352085,2,1,1,2,1,1,1,3,1,1,1,1,1,3,3
201633492,1,1,2,2,1,1,1,1,1,1,1,4,1,1,2
201172558,1,1,2,1,1,4,1,1,2,1,4,5,1,2,2
200741288,2,1,1,1,1,4,1,4,1,1,1,1,1,2,2
200772325,1,1,1,2,2,3,1,1,2,1,1,2,1,1,3
200261980,2,3,1,3,2,4,1,7,1,1,5,2,3,4,1
201406451,1,3,3,2,2,5,1,1,1,1,5,1,1,2,2
201406451,1,3,3,2,2,5,1,1,1,1,5,1,1,2,2
201633179,1,1,2,3,1,1,1,1,3,1,1,3,3,2,1
300791589,1,2,4,1,1,4,1,5,1,1,1,1,1,5,2
300859675,1,1,2,1,2,4,1,6,1,1,1,4,1,6,3
200331197,2,1,3,1,1,1,1,5,2,1,1,1,2,1,1
200420115,2,2,1,1,2,1,1,1,1,1,5,3,1,1,2
201502903,3,4,1,1,2,4,1,2,4,1,1,3,1,6,2
201502903,3,4,1,1,2,4,1,2,4,1,1,3,1,6,2
305405656,2,1,1,2,2,2,1,2,2,1,3,1,3,1,4
201680832,2,3,1,3,2,6,1,1,1,1,1,1,1,2,2
201484805,1,1,2,1,2,3,1,6,1,1,5,5,1,2,2
200001451,2,3,1,3,1,1,1,3,1,1,4,1,2,2,3
200201846,2,2,1,2,1,1,1,5,1,1,2,1,1,2,1
200022630,2,2,1,3,2,4,1,2,2,1,4,2,1,3,4
202260592,2,4,1,3,1,1,1,2,2,1,2,2,1,6,4
201034030,1,4,2,2,2,4,1,3,4,1,4,3,1,4,2
200101277,2,1,1,2,2,4,1,7,1,1,1,1,1,2,2
305023491,2,3,1,2,1,1,1,5,1,1,1,1,1,3,3
201163383,3,4,2,1,2,3,1,2,2,1,4,5,1,2,4
200170355,2,1,1,3,4,6,1,3,1,1,1,1,1,6,3
170667174,2,1,4,3,1,1,1,2,1,1,2,1,2,2,2
170870679,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2
201095221,1,1,2,2,2,1,1,1,4,1,2,1,1,3,2
200740934,2,2,2,2,2,1,1,5,1,1,4,2,1,2,2
201521283,1,1,1,2,1,4,2,5,1,1,1,4,1,2,2
300785979,1,1,3,2,2,2,1,4,1,1,3,4,2,2,4
360238869,2,2,3,3,3,4,1,4,2,1,1,1,1,4,3
201094679,1,2,2,2,2,3,1,3,1,1,1,2,1,5,2
171060734,1,1,3,2,1,1,1,1,1,1,5,4,1,1,2
201405073,1,3,3,3,1,1,1,1,3,1,1,2,1,4,2
100040559,2,2,3,2,4,5,2,2,1,1,1,1,1,2,1
200621217,2,2,1,2,2,1,1,4,1,1,1,1,1,2,2
201351251,2,3,1,3,3,3,1,5,1,1,1,1,1,6,1
201631249,1,1,1,2,2,1,1,1,1,1,1,1,2,2,3
201112794,1,4,4,2,1,1,1,2,1,1,1,4,1,4,2
200401248,2,3,1,1,2,3,1,1,1,1,5,1,2,1,2
200610590,2,3,1,3,2,3,1,2,1,1,5,2,1,1,2
200040392,2,1,1,1,2,2,2,4,1,1,3,2,1,4,1
200610665,3,2,1,2,1,1,1,2,1,1,1,5,1,2,2
201054079,1,1,4,3,1,1,1,5,1,1,2,5,1,4,1
200261006,2,3,1,2,3,5,1,3,1,1,2,1,1,5,3
201093788,1,1,3,1,3,2,2,6,2,1,3,2,1,1,2
201403714,1,1,3,2,1,1,1,1,2,1,2,3,1,2,1
200965101,3,4,3,1,1,1,1,1,1,1,2,4,1,1,1
200740538,2,1,1,1,2,2,1,7,1,1,3,1,2,1,2
120276878,1,1,3,2,2,2,1,7,1,1,3,2,1,1,2
200770568,2,2,1,2,1,4,1,4,2,1,4,2,1,4,2
200770568,1,2,1,2,1,4,1,4,2,1,4,2,1,4,2
200820413,2,1,1,2,1,1,1,5,1,1,1,1,2,1,3
170123814,2,4,4,2,1,1,1,1,1,1,1,1,1,4,1
170238588,2,1,1,2,2,3,1,3,2,1,2,3,1,3,4
170869291,1,1,2,1,1,1,2,1,4,1,4,4,1,2,2
200330447,2,2,1,3,3,1,1,2,2,1,1,2,1,3,1
170360424,1,1,2,2,2,2,1,6,1,1,3,5,1,4,1
201161387,1,1,3,2,2,4,2,4,1,1,1,5,1,5,2
200000750,1,1,4,2,1,3,1,1,1,1,5,1,1,3,1
171057797,1,1,2,2,2,3,1,1,1,1,1,4,1,5,1
200010478,2,1,4,3,1,1,1,3,1,1,5,3,1,7,1
200550903,2,3,2,1,2,3,1,2,1,1,1,1,1,2,2
000896696,2,3,1,2,1,1,2,3,1,1,1,1,1,3,3
201791985,2,3,1,1,2,1,1,4,2,1,3,1,2,1,2
171057466,2,1,4,2,1,1,1,3,1,1,5,1,2,6,3
201200599,1,3,1,3,1,1,1,3,2,1,4,1,1,2,1
201402708,3,4,3,1,2,5,1,1,2,1,2,1,1,2,2
201260403,2,1,1,3,2,3,1,2,2,1,1,1,1,2,2
201520434,2,1,1,1,2,2,1,1,1,1,3,1,2,1,2
201340445,2,2,3,2,2,3,1,4,1,1,5,1,1,4,1
014287064,2,3,1,2,1,2,2,7,1,1,3,1,3,1,2
170618755,1,1,2,2,1,1,1,3,1,1,1,5,2,2,1
200270437,2,2,2,2,2,6,1,3,1,1,1,1,1,2,2
171038649,3,4,1,1,1,1,1,1,4,1,4,1,2,3,2
170831341,3,4,2,2,2,3,1,1,1,1,2,3,1,2,2
200050532,1,1,1,3,2,4,1,4,3,1,1,3,1,5,4
200920080,2,3,2,3,2,1,1,1,2,1,4,1,1,3,1
201790755,1,2,2,3,1,1,1,3,1,1,1,2,1,3,1
170701767,1,3,2,2,2,4,1,4,1,1,1,1,2,2,4
170787840,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1
170618631,1,1,2,1,2,1,1,1,1,1,2,4,1,2,2
170872980,2,2,3,3,1,1,2,5,1,1,2,3,1,7,3
170701577,2,2,3,3,1,1,1,5,1,1,1,1,2,2,1
170618094,1,1,2,2,2,1,1,1,1,1,2,3,1,1,2
201520285,1,4,1,2,1,1,1,2,2,1,2,4,2,2,3
201520285,1,1,1,2,1,1,1,2,2,1,2,5,2,2,3
201091253,1,3,2,2,1,1,2,3,2,1,2,3,3,1,3
202287926,2,1,1,2,2,4,2,4,1,1,1,1,1,3,2
000655811,1,1,1,2,2,3,1,1,1,1,1,2,1,2,2
170758841,2,3,4,2,1,1,2,1,1,1,1,2,1,3,1
000665695,1,1,4,2,1,1,1,1,1,1,1,2,3,1,3
201480712,1,1,2,1,2,3,1,7,4,1,5,1,1,3,2
200000370,2,3,1,2,2,3,1,1,2,1,5,1,1,1,1
201981065,2,3,1,1,1,2,1,7,2,1,3,1,2,2,1
201951126,2,1,1,2,1,2,2,2,1,1,3,1,2,1,2
201790409,1,1,2,1,2,2,1,2,2,1,3,3,1,5,2
170250971,2,4,1,3,1,1,1,1,1,1,1,1,3,1,3
201360377,2,4,4,2,3,1,1,1,1,1,1,1,1,2,1
201360369,2,2,4,2,1,1,2,1,1,1,1,2,1,2,3
000880856,2,2,1,3,1,5,2,6,2,1,4,2,2,3,3
200270205,2,2,2,2,1,1,1,3,1,1,1,1,1,5,1
201270360,2,3,1,3,1,1,2,5,1,1,5,1,1,2,1
170726301,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1
200640530,2,3,1,3,1,1,1,3,1,1,2,3,1,4,3
170886998,1,1,2,2,2,1,1,2,1,1,1,2,1,6,4
201080355,1,1,3,2,1,1,1,6,1,1,2,2,1,2,1
170758346,2,1,2,3,2,4,1,1,4,1,2,3,1,3,4
000817742,2,3,2,2,2,3,1,7,1,1,1,1,1,2,2
000568261,2,1,1,3,1,1,1,3,2,1,2,2,1,6,1
171054034,1,2,2,3,1,1,1,3,2,1,5,2,3,2,4
200603330,2,2,1,3,4,1,1,5,2,1,2,3,1,5,3
201701992,2,3,1,1,2,2,1,2,1,1,3,1,1,2,2
200673721,2,4,3,3,2,5,1,1,2,1,1,3,1,3,3
170869275,3,3,4,1,1,1,2,1,2,1,1,1,3,1,2
000880930,2,1,1,1,4,5,1,7,2,1,5,1,1,3,3
202588604,1,2,4,2,1,2,1,1,2,1,3,3,3,1,4
200171189,2,1,4,2,1,1,1,2,1,1,1,1,3,5,4
202651519,1,3,4,1,1,1,1,1,1,1,2,1,1,5,2
201204989,1,1,1,2,1,1,1,1,2,1,4,5,1,4,2
202556973,1,1,2,2,2,3,1,2,2,1,1,2,1,5,2
202657771,1,1,3,2,1,1,1,4,1,1,2,4,1,4,2
202657896,1,1,3,2,2,4,1,4,1,1,1,2,1,6,3
201408598,2,4,4,3,1,1,1,2,2,1,4,1,1,6,1
201615416,1,1,3,1,1,1,1,4,1,1,1,4,1,2,1
202570040,2,2,1,3,1,1,1,2,2,1,4,1,3,2,1
202614566,1,1,1,2,1,1,1,1,1,1,1,1,1,4,2
200042075,2,2,1,2,1,6,1,6,1,1,2,1,1,3,1
202673067,1,4,1,2,2,4,1,1,2,1,2,3,2,2,2
202656765,1,1,2,1,2,2,1,4,2,1,3,5,1,6,2
202614491,1,1,1,2,1,1,1,1,1,1,2,4,2,1,1
200626588,2,2,3,2,1,1,2,1,1,1,1,2,3,1,2
202531463,1,3,1,2,1,1,1,3,1,1,1,1,2,1,1
201129194,1,1,3,2,1,1,1,1,1,1,1,5,3,2,1
200678696,2,2,1,3,1,1,1,5,2,1,1,1,3,1,2
202522314,1,1,4,1,1,1,1,1,2,1,5,4,2,1,2
200926210,2,1,4,3,1,2,1,2,2,1,3,1,1,3,4
202554358,1,1,4,2,1,1,1,3,1,1,1,5,3,4,1
200213064,2,3,1,3,1,1,2,1,1,1,1,1,3,1,1
201764081,2,2,1,2,3,2,1,4,1,1,1,2,1,5,3
202081295,2,2,4,2,1,1,1,1,1,1,1,3,3,1,3
202081253,1,4,4,2,1,1,1,3,2,1,2,4,2,1,2
202493029,1,2,4,1,1,1,1,2,1,1,2,2,3,1,2
201764073,2,4,1,3,1,1,1,1,2,1,1,1,2,7,1
200714319,2,1,3,3,1,1,1,3,1,1,2,1,3,4,4
202553673,1,3,4,2,1,1,1,1,2,1,4,1,3,1,2
201408457,2,3,3,3,1,2,1,1,1,1,3,1,2,2,1
202634994,1,1,3,1,1,2,1,2,2,1,3,5,3,1,1
202614145,1,3,4,1,1,1,1,1,2,1,2,1,3,1,2
200922623,2,2,4,3,1,1,1,4,2,1,1,2,2,1,2
202081196,2,2,4,3,1,1,1,1,1,1,2,3,3,1,1
200542249,2,1,1,2,1,1,1,5,2,1,2,3,2,1,2
201283512,2,2,1,3,1,1,1,3,2,1,2,2,1,3,2
202457354,1,3,3,2,1,1,1,3,1,1,1,1,2,1,2
201345923,1,2,3,1,2,3,1,5,1,1,1,3,1,4,2
202561262,2,3,4,3,1,1,1,3,1,1,1,1,3,1,4
200375624,1,2,4,2,1,1,1,1,1,1,4,3,1,1,1
200359370,1,1,4,2,1,2,1,2,2,1,3,2,1,2,2
202508792,1,1,2,1,2,4,1,3,1,1,2,4,1,3,3
201408390,2,2,3,1,1,2,1,1,2,1,4,2,1,3,4
200604791,2,2,4,2,1,1,1,1,1,1,2,1,3,2,2
200074730,1,1,1,1,4,2,1,1,1,1,2,5,1,7,3
200645083,2,2,3,3,1,1,1,4,1,1,1,2,1,7,3
200359321,1,1,4,3,1,1,1,6,1,1,1,2,1,3,1
201345758,2,2,4,2,1,1,1,1,1,1,1,2,3,1,2
202635637,2,1,1,3,2,3,1,1,2,1,2,1,1,3,3
202612990,1,1,4,2,1,4,1,2,2,1,4,5,2,4,2
200534253,2,2,4,3,1,1,1,1,2,1,1,1,1,3,1
202080990,1,2,4,2,1,1,1,2,2,1,1,1,3,1,2
200981140,2,1,1,2,1,1,1,1,1,1,5,1,3,1,1
202633822,1,1,4,1,1,1,1,2,2,1,4,5,3,1,1
202457057,2,2,4,3,1,6,1,5,2,1,2,1,3,4,1
200678282,2,1,1,2,1,1,1,5,1,1,1,1,3,1,1
200272250,2,1,4,1,2,2,1,2,2,1,3,1,3,1,3
200462604,2,2,1,3,1,1,1,3,2,1,4,1,3,1,4
201956281,1,1,1,3,1,1,1,3,1,1,2,4,1,4,4
202494225,2,4,1,3,3,3,1,3,1,1,1,2,2,3,1
202494225,2,4,1,3,3,3,1,3,1,1,1,2,2,3,1
202457081,1,1,3,3,1,1,2,6,1,1,2,2,3,4,1
202494209,2,2,1,3,1,1,1,2,1,1,4,3,1,7,4
201523750,1,1,2,1,2,2,1,7,2,1,3,1,1,3,1
202612537,2,2,1,3,1,1,1,5,1,1,2,2,1,5,2
202627840,1,1,4,2,1,6,1,5,1,1,1,2,3,1,1
200902526,2,3,3,2,3,5,1,7,3,1,5,3,1,7,3
201371424,2,2,1,2,1,1,1,3,1,1,2,1,1,1,2
201523701,1,2,4,2,1,2,2,3,2,1,3,1,2,1,4
202507968,1,3,3,2,2,4,1,2,2,1,1,1,1,4,2
200644938,2,2,1,3,1,1,1,7,1,1,1,3,2,4,1
202005427,2,2,4,2,1,1,1,3,2,1,2,2,3,1,2
201773629,2,2,1,3,1,1,1,2,1,1,5,2,2,2,1
200613321,1,1,1,2,2,1,1,3,2,1,2,2,1,5,4
200033702,2,1,4,3,1,1,2,7,1,1,1,2,3,1,1
200604676,2,3,1,1,4,1,1,5,1,1,2,1,2,1,4
202080636,2,2,4,3,1,1,1,3,1,1,1,1,3,1,1
201354099,2,2,1,3,1,1,1,5,1,1,1,3,2,1,1
200758993,2,1,1,2,1,1,1,5,1,1,2,1,2,1,2
202089413,1,2,1,3,3,3,1,5,1,1,2,2,1,2,3
201044476,1,3,1,1,4,2,1,4,2,1,3,1,2,3,1
201523586,1,1,4,2,1,4,1,1,1,1,1,1,2,1,2
200625812,2,2,1,2,2,4,1,5,1,1,5,1,2,1,1
201262771,1,1,1,2,1,1,1,2,3,1,1,2,2,1,2
201262771,3,1,1,2,1,1,1,2,3,1,1,2,2,1,2
200713907,2,2,1,3,1,1,1,1,2,1,1,1,3,1,1
202541702,1,3,1,1,4,2,1,2,2,1,3,1,2,2,1
200776060,1,1,1,2,1,1,1,3,1,1,1,2,2,1,4
200881738,1,2,1,3,1,4,1,3,1,1,1,2,1,7,3
200881738,1,2,1,3,1,4,1,3,1,1,1,2,1,7,3
200881738,3,2,1,3,1,4,1,3,1,1,1,2,1,7,3
200881738,3,2,1,3,1,4,1,3,1,1,1,2,1,7,3
200881738,3,2,1,3,1,4,1,3,1,1,1,2,1,7,3
200002988,2,3,4,3,1,1,1,4,4,1,2,2,3,3,1
202541462,1,1,1,2,1,4,1,1,1,1,1,1,1,5,4
202600300,3,4,1,1,1,2,1,1,2,1,3,4,3,1,2
201363520,2,3,1,3,4,1,1,5,1,1,5,1,1,1,3
200784890,2,2,4,2,1,1,1,5,1,1,2,2,3,1,1
200203388,2,2,1,1,1,2,1,2,2,1,3,2,3,2,4
200083723,3,4,1,2,2,2,1,1,1,1,3,2,3,1,2
200123099,2,2,1,3,2,3,1,2,1,1,1,1,1,6,1
200775856,2,3,4,2,1,1,2,1,4,1,4,1,3,1,2
201283215,2,2,4,3,1,1,1,4,2,1,2,1,3,1,2
200033553,2,1,2,2,2,2,1,1,3,1,1,1,1,2,2
202599395,2,2,4,2,1,1,1,3,1,1,2,3,3,1,2
200358208,2,2,4,2,1,1,2,5,1,1,2,1,3,1,1
200023604,2,3,4,3,1,1,1,3,2,1,1,2,3,1,2
200033512,2,3,4,2,1,1,2,1,2,1,2,1,3,1,1
201925005,2,3,1,2,1,2,1,1,1,1,2,1,3,1,4
201924982,2,2,1,2,1,1,1,1,2,1,2,1,3,1,4
202599429,1,4,3,2,1,1,1,3,1,1,2,3,3,1,1
202609095,1,2,2,2,2,5,1,2,2,1,1,4,1,5,3
200677920,2,1,1,1,4,4,1,2,2,1,4,1,2,2,1
201074275,1,1,4,1,1,1,1,2,2,1,4,4,3,1,2
