 Surveying," Interior tile work (ceramic, vinyl, acoustic)", Swimming pool construction, Plastering," Interior plumbing, ducting, electrical work", Other Activities-Installing Ornamental And Archite, Placing bridge deck, Installation Of Decking-Initial Laying Deck (Incl, Dredging, Demolition, Installation Of Decking-Final Attachment Deck (Wel, Steel Erection Of Open Web Steel Joists-Moving Poi," Elevator, escalator installation", Steel Erection Of Solid Web-Moving Point To Point," Construction of playing fields, tennis courts", Cutting concrete pavement, Erecting structural steel, Exterior painting, Installation Of Decking-Flashing Of Decking," Installing interior walls, ceilings, doors", Steel Erection Of Solid Web-Welding/Burning/Grindi, Other Activities-Post Decking Detail Work, Steel Erection Of Solid Web-Bolting-Up/Detail Work, Steel Erection Of Solid Web-Plumbing-Up, Steel Erection Of Open Web Steel Joists-Welding/Bu, Steel Erection Of Solid Web-Landing Materials (Hoi," Seawall construction, riprap placement",Non record, Site grading and rock removal, Exterior carpentry, Site clearing and grubbing, Installing culverts and incidental drainage, Fireproofing, Pouring concrete floor at grade," Temporary work (buildings, facilities)", Steel Erection Of Open Web Steel Joists-Landing Ma," Installing windows and doors, glazing", Interior carpentry, Installing equipment (HVAC and other), Paving, Forming," Installing plumbing, lighting fixtures"," Erection of coffer dams, caissons", Pouring or installing floor decks, Interior painting and decorating, Installing underground plumbing conduit, Installation Of Decking-Hoisting Bundles, Loading dock forming and pouring, Steel Erection Of Solid Web-Connecting," Pouring concrete for piers, and pylons", Placing bridge girders and beams, Stripping and curing concrete, Exterior cladding," Trenching, installing pipe", Traffic protection, Steel Erection Of Open Web Steel Joists-Bolting-Up, Steel Erection Of Open Web Steel Joists-Connecting, Landscaping, Bituminous concrete placement, Pile driving, Backfilling and compacting, Pouring concrete foundations and walls, Steel Erection Of Open Web Steel Joists-Plumbing-U, Installing metal siding, Forming for piers or pylons, Interior masonry," Fencing, installing lights, signs, etc.", Emplacing reinforcing steel, Waterproofing, Excavation, Exterior masonry, Roofing
4.804719489112222,2.115585191868356,1.7418161824026286,4.224787368637449,2.3592958409895637,1.8681086387582417,1.9892309418159242,2.2539304423863094,2.586878067693188,1.7872298294198528,1.657905222081981,1.8396203453159832,1.5218318463006524,1.8617240353026183,1.6361864205849015,2.8374465085793776,2.2347985769134033,1.9612265959596427,2.067356276638424,1.69183862259083,2.025989972882414,1.9850961360111756,2.0034445132281684,2.025989972882414,1.744575940163977,1.9975759250124012,2.2126053152972345,1.6256080695784996,3.348198504403274,2.4560541501037503,2.4531740743940915,2.832769938297009,1.1888066542535032,1.828317521922578,1.936035453727384,1.7364522022723021,1.4632337946543377,3.0115151036956664,2.6482165987493924,1.6942375099827505,1.7950190259588565,1.9832072189651833,1.7558296767786148,1.8963319061447423,2.6993625294374777,2.4473440579865477,2.060831656300042,1.7294376879324669,2.025989972882414,1.9424863733300923,2.395593021614083,1.7698730350972616,1.8185986491370012,3.033635702674686,1.6223973416515063,1.744575940163977,1.744575940163977,1.7686884661018278,2.201841354169174,1.610692079629914,2.5761326198117174,1.744261942994921,1.744575940163977,1.7416285899951522,2.252581358472497,2.1259416283840986,1.661529630045828,1.6689855800688884,1.6626742723263666,3.625453688337199,1.8582164660638312,2.8334038938846295
2.1111248517350827,4.761104606192568,3.176599286300539,4.294958847359763,4.088452360281606,3.1471883556069784,3.3376954555572698,3.5326407874047994,1.4550216970091427,2.029857499154586,3.8131512654824955,3.614597343111304,3.6608625425439527,3.050314009511159,2.6303542403699662,4.060534511391689,3.42629534276079,4.061118000806345,3.5707547043102625,3.9587312910697348,3.4822044441840028,3.4959083734899994,3.532459944505971,3.4822044441840028,3.62951036688548,3.765822988492517,3.930566084803388,3.7940298600831786,3.6665517214143577,3.955773030899243,2.06083082011551,3.179026416170856,4.776796506329585,3.4718635209905764,3.9777549516324293,3.4782834018348305,4.2423487412766105,3.953806492785413,3.63629336658898,4.3803329810068,4.3854844202061285,4.198435299213429,2.1287108964892223,3.5695645971753045,3.963118170934992,3.3678428452167237,3.2089653382786243,2.8806807939306056,3.4822044441840028,3.5882745516283885,3.565399731572544,3.424273958263257,4.381290345896545,3.312205791329253,3.9971126770202767,3.62951036688548,3.62951036688548,4.508461532229732,4.216158084487802,3.2020846129116727,1.941179928728827,3.7147664911230462,3.62951036688548,4.198780538417079,3.903294146997554,4.150361740994423,3.2635957612960182,4.153146966069528,4.345381405777555,2.6694910859886285,4.200738890661213,4.444607746412178
1.732811055015993,3.1701623157155607,4.79984235244769,4.336391880879532,2.6398234828078584,1.7074709820270901,2.4284446378781093,3.3104131325317705,2.02752188628185,2.7278370662961433,2.812972095273092,2.2574591115387292,2.5138611253432224,1.6928578346754257,3.7045539247439487,2.8808902582004055,3.416010894955979,2.932201989655787,2.9612018030223073,2.3384294380467763,2.2849155553676193,2.589795078211843,2.1571766748899917,2.2849155553676193,2.2934292111429877,1.921642744410327,3.5027126581830417,1.6068377396382978,1.5977229276759686,3.3463397295245767,1.8405672510386335,2.016818384590538,2.2018563386453534,3.4319270958727954,3.367743396743278,1.8848890561329767,2.15527851769976,2.6672036652600832,2.933681131659756,3.8140369513167363,1.8200556597423443,2.3112873010380643,1.9796989423972309,3.4423204377207037,2.240477792485584,2.4725698049367093,1.6978429321934283,1.8477538962843423,2.2849155553676193,3.009756534197428,1.5398816419294776,2.9825638411020803,2.7470697916889004,2.1132657595885305,2.812645077382704,2.2934292111429877,2.2934292111429877,4.305271336868781,2.7211338405545025,1.4494922202392053,1.404846541261978,3.2337784584908955,2.2934292111429877,2.2068658213623644,2.8959948302811584,2.3476885582535427,1.9578691735472593,1.8191684703717037,3.8786965330186858,2.9101511646016185,3.1235529451317596,3.934967781940946
4.207522909073573,4.264786825590906,4.316282275280429,4.9984182450598365,4.284443339316663,2.7541172705020864,2.258223521735883,4.32387803077667,1.6632595472317429,4.855634227758349,3.062014445379277,2.5195589113661407,4.280753611460372,2.0431220400414443,1.9623298209739164,4.235844877627448,3.940743205028075,4.2214691409866525,4.210687380523518,3.813863304204601,3.2823657684160628,4.03172453588763,3.6366743808576922,3.2823657684160628,2.3914779521103804,2.9891376783185977,2.743847371543999,2.372729429331158,4.40198070773811,4.275135786183427,4.009887795543288,3.7718294816747946,4.8853176862223915,4.238243922044842,3.858438450801886,2.0973310943798786,4.407135386216668,4.239686341651309,4.051207436514039,4.835859843692652,2.569337716063961,4.604056230566038,2.0753106366139145,4.302773046296829,4.5116958494939965,4.012856919835478,3.4094418711803582,2.540791226764349,3.2823657684160628,3.9773330799113866,2.5549324253165335,4.198894453606937,4.420492296592741,4.289181679899155,1.9581659219593455,2.3914779521103804,2.3914779521103804,4.885569905753055,4.4272816273530164,1.729027025502181,3.5164466927272398,4.147531512623599,2.3914779521103804,4.440226210075937,3.3701055125809463,3.8299396015070957,3.892295187412828,1.9250791683276618,4.645543330709557,3.9072415441492065,4.048315306583509,4.6136914904280815
2.345558294084625,4.0802505160616604,2.6342054148604523,4.293809748185389,4.9256206535707285,2.9714411931927613,2.550080577857126,3.9204334576241475,1.714601714597654,2.338854673131491,4.107214812946944,3.6046256948668693,4.089691406095782,3.092135044152612,2.04348110627405,4.326636209430543,3.837723107107495,4.114668220112576,3.915735135240906,3.6891913886607863,3.6710528846933905,3.9919520745321107,3.9950337695318683,3.6710528846933905,3.821145628107579,3.650206041542004,3.4271102221388077,2.1078148497730993,2.858809125841403,3.9903272021631286,1.9569512467958097,3.8847553395048218,4.713448010494595,3.4723558895278988,3.99972027108186,3.6182428749359214,4.303769072702067,3.7786226314572446,3.516534532298456,4.568643606979059,3.0769465278927783,4.057341503017252,2.437321832273231,3.6233765301395104,3.987950461283237,3.7219338650035154,3.75898788077044,2.368878549000291,3.6710528846933905,4.02908226948577,3.2586577386871456,3.7258237150081657,4.17824180455979,3.530368023099826,3.714011566290271,3.821145628107579,3.821145628107579,4.2794301995551045,4.129855094498952,2.1136976083288186,1.655292197146258,3.9728248633059646,3.821145628107579,4.145021250664628,4.015824422157444,3.9217800218617263,3.6700632562674906,4.1007375401117985,4.436281395490154,3.015086965355855,4.058319753802451,4.574786524307785
1.8634463759319373,3.1400828253643116,1.7095258354799159,2.759369172164064,2.9703820631852196,4.888545910337842,2.329333862943022,2.7230110844320934,1.7677796242518604,1.58941471200123,1.9645486825068215,2.7499199786244457,2.249521234644877,2.062591978806607,2.053400646292877,3.2235058774367573,2.1336398677690793,3.841654675860008,3.0006393922278196,2.46612787212366,3.305158915539076,3.2638399972206877,3.1035152310886724,3.305158915539076,2.8632417642951475,2.6995403553557753,2.182819731919939,1.9493000116241546,2.3012529289489,3.4616418147371455,2.314395443875398,2.8628664264036248,2.1231541397421014,1.7549148999562143,2.292448799172509,2.7758692409026278,3.062932522464044,3.37869390409708,2.96439597626241,4.115433653203431,3.842680034389744,2.3195146577669656,2.377568180333696,2.04869324789461,3.9308203749893975,2.463994600833685,2.730095904940412,2.007470095826802,3.305158915539076,2.2608217937360937,2.9131535104559623,2.8978726918432933,3.5226700595767686,2.5127886021089383,3.3979963100400217,2.8632417642951475,2.8632417642951475,4.298089719380151,2.3071954815765134,2.2009523109838742,1.8275039055537663,1.9858056778458664,2.8632417642951475,2.9077329752772605,3.752578409766013,2.7870818980978873,3.356790073783133,2.4068856089632,1.901050515153751,1.823141955862717,2.9714937177507426,3.5213113844994375
1.9819345052932875,3.329314774492259,2.430379189376393,2.2815484348674486,2.554913956092367,2.336324475274994,4.856933329002805,3.588851331030625,2.050834579548809,1.72431314823345,3.905637611529236,2.664641888026637,3.797330889638865,2.5921367176994314,2.2046988203308406,3.9479084303956276,3.268311090694278,3.5400186979310417,3.5971035230745168,3.385580214396719,2.8622233271677953,3.3888834543740183,2.831823503485028,2.8622233271677953,2.603247705227863,3.053225942866708,3.3180280827993345,1.6793010327574505,1.6978958451210122,2.677357221466192,2.3735560896724115,2.977074285284875,1.6974342835736456,3.802707256747266,2.6108556162379593,2.4003803900763523,3.1640095610182617,2.249452290147739,2.672007699441213,4.113648233384593,4.1058735750490865,2.833674791103764,2.842539853155877,3.6115334136416846,3.0420846571026354,3.09136988327979,3.2157935864614613,3.6224917988187455,2.8622233271677953,3.9312145405274994,3.9701316119527483,3.1324970990108554,3.3108660122262705,2.9361389358235694,2.7960089513705735,2.603247705227863,2.603247705227863,3.201508994500622,4.084239280489762,1.9639324106796403,1.6668332183471481,3.456499309602269,2.603247705227863,3.579004904440239,4.277584820662233,2.4116344364186535,3.0951685595319463,3.374232270847668,3.0618826976388336,2.5376412844006566,2.8952504553760883,3.7245463132342467
2.2366202346687527,3.5221598428847765,3.308933619115522,4.339180748151288,3.9230625038963574,2.723477125560933,3.590240344197806,4.708349539298197,1.758786302919193,1.8981126829177204,4.03039606260587,2.670734157515209,4.196021789698536,2.2060185438043654,2.6076803816538434,3.9476685116419743,2.7743043429197565,3.9467212086757915,3.912928466198026,3.543875309404479,2.9759300050598956,3.267076472795549,2.9957312052540406,2.9759300050598956,2.911263066973075,2.933992194183263,2.72696163665645,2.537118637283184,2.0609849463468795,3.665850670608288,2.6356825117696383,3.3441912900759565,3.301995018951377,3.724922223923226,3.121524803296958,2.6057270627037785,3.6560166619752352,3.3741545583166612,3.725698416443336,4.2346509579469735,3.108920980499241,3.8018018274365133,2.4170450169206514,3.807185163554852,3.7184060301171646,3.6249026797988004,3.540404547201077,3.731352045120136,2.9759300050598956,3.489355478220461,3.1510874938344595,3.556427009179102,3.817842862674536,3.479835552777298,3.144153800741704,2.911263066973075,2.911263066973075,4.112782523115967,3.8789989420861,2.201472133040399,2.0732953284095954,3.6509201902744515,2.911263066973075,3.8555194963572936,3.94642509536795,3.176923430163609,3.5262435220542354,2.773073817071208,4.177567331183154,2.395740424753102,3.8467655736104867,4.223085380185364
2.581897569188945,1.4510848819337097,2.0433070819730883,1.7055765032620411,1.7134695037361443,1.7682521672112732,2.0642449667629794,1.769006186031391,4.917259479968061,4.022734382037344,1.5093713679107597,1.3465953828056405,1.2707184630592738,1.4624244595329834,1.5244872520493122,2.3397076878240055,1.450069164580303,1.53053437146847,1.3890984944255793,1.4289201134328668,1.4643119304477612,1.61549973988482,1.4977785448672614,1.4643119304477612,1.3389041252745426,1.5906278311430686,3.622700624153659,1.4150490723525677,2.7032293713008055,1.7173431686522787,2.574306396165243,2.977687803172176,1.3760426364095424,1.4314790995786018,1.785042186532908,1.4092582522470252,1.2262724745301217,1.8040366650938062,1.6604169786523157,3.476947713852079,1.3221950022515927,1.509690148927597,3.464037967396144,1.4297765245219418,1.6637809432197848,1.3998673460604956,1.3522702271317915,1.8993667902271363,1.4643119304477612,3.578402536902156,1.5265130644051705,1.599845432148753,1.614561150773274,1.5865392996563106,1.876087126265115,1.3389041252745426,1.3389041252745426,2.244305541898246,1.8122373218671688,1.4472464223684236,1.874344483896874,1.6220956685866867,1.3389041252745426,1.3738646609251752,3.7423677665146764,1.7410408366102401,1.3574060172027236,1.333774131439296,1.5051793101077218,3.9863223291094307,1.5892798767245344,1.3302726540767549
1.7726409028172743,2.026636437179773,2.741018005006653,4.860558285256619,2.3545332918356054,1.5803811040880174,1.7218524798191788,1.9048017764700633,4.018896222259295,4.984875031854463,1.625320403526103,1.7153703501614983,2.542366484993769,1.7258240125817361,2.3841188252438985,3.6068198274127528,3.5740780983638714,2.7798383089003162,1.9744861288090585,1.7530169225740344,2.6927718336914976,1.6827014413746064,2.4085661787511543,2.6927718336914976,1.9413269027363769,2.2171188496924255,3.5946882339190944,1.5468724307470216,3.4473734009996897,3.7666853242506466,2.0390264573053773,1.5812367715820546,4.6628737991451965,3.0349884968558127,3.0621496216049557,1.775453743386434,1.748189463208898,2.974566321329323,1.8069159350837327,4.513902474600783,1.4304319068269762,1.8783668929681192,2.6689345938622084,1.8237082499381838,2.5033966218990997,1.6486692919037618,1.398867391674726,1.3061790147764392,2.6927718336914976,3.6788557826386152,1.5741648646761495,3.3146016346163285,3.9589424837862075,1.6219058672749447,1.750470873121651,1.9413269027363769,1.9413269027363769,3.5602698291381616,3.4801197263645487,1.5251594039382437,3.1048129002488842,3.7199296507745663,1.9413269027363769,2.5939527124878587,3.085566474308208,3.3458867421704883,1.6645969497704276,1.6187247475154882,4.455828998339971,4.324533083591038,3.932551868723801,4.68032718464734
1.6445424697594726,3.8095427598272287,2.8158165305070186,3.098113796872924,4.114957678009771,1.961807885465028,3.909264458972922,4.033269274358788,1.4999626542916402,1.6243884260279862,4.841348507044065,2.7597958970621983,4.157853098324361,2.104835163394543,2.1174000401966495,3.7600424339029592,2.920387192109663,3.9606093977070302,4.000661628297864,3.7298164892976944,2.8718293631039487,3.4963257420589846,2.944523281781657,2.8718293631039487,3.448380940571614,2.9672619779284073,2.6058695098242417,1.8731331605895254,2.0419675105256223,3.6759159759300317,2.654605194405086,2.874753461942329,2.284304300670872,3.4617602718281963,3.108016738425452,2.7665775899578784,3.913434604463112,3.4277892109178203,3.953686200652371,3.6111635296727878,3.464907057337102,3.793342143078225,2.1995496146992046,4.034322663698793,3.510431918985888,3.5757496561298945,3.581266656074238,3.7986032871293016,2.8718293631039487,3.586051455072778,2.665674314078726,3.3511117511175024,3.7423131235558715,3.344255123917335,3.5483867727052045,3.448380940571614,3.448380940571614,3.519670450502537,3.6101373345812373,2.200495131272354,1.8453170118926039,3.3373070275228467,3.448380940571614,4.019091590419966,4.050604256592976,3.2938786311486288,3.7414179296739665,3.408766260338588,3.8741066464528915,2.01986222743668,3.85052186416538,4.080315888571207
1.831948607580317,3.6060749995579346,2.2567242157415537,2.5463266636136455,3.6105737766373593,2.753036291890855,2.662423434771051,2.6730812230037824,1.3411398854606524,1.7166544842270348,2.7583948703033805,4.7529223051422695,3.329966679279126,3.8301658739337863,2.738629504855388,3.9464082996800465,4.156063120362305,3.261217389120973,2.85803212364309,3.1077828427825622,3.9813283368030397,2.801818517052304,3.962095954509595,3.9813283368030397,4.454561190946677,3.9885522795054076,2.962377487236618,3.191806785835082,2.4209096185806938,3.4966506961713772,2.1551559983090804,2.254005738838966,3.2234408915908723,3.2364429349573203,2.673061762794438,4.316686326570929,3.4815600854397117,3.2869777184590054,2.865314246489725,3.7074758870706717,3.329450238612063,2.500851995560006,3.626210531241813,3.273300389575895,2.579467667278972,3.1576507876581843,2.1893800252084095,2.3169778139177852,3.9813283368030397,3.225905095521671,2.84870398079526,3.1610452434819147,3.6248163339391866,2.9816701088480433,3.48468697183681,4.454561190946677,4.454561190946677,1.7661151774127855,3.358098001202419,1.6519703558441114,1.5126830043474704,3.102435364531647,4.454561190946677,3.290764888594973,3.555245082101311,3.2003332052066016,3.2258728302561055,4.034146077315385,2.336678453257234,1.7802114019341388,3.427027052016281,3.5270885572514876
1.506685112295366,3.6555864805243843,2.488660988517511,4.2877063644974545,4.0906417277541145,2.230868246299889,3.7956186312730704,4.1953659520540425,1.2644179196278698,2.5003797444914455,4.154744299874455,3.3149379141578175,4.889870827531514,2.8024481001716803,1.8627334686423738,4.019562020159329,3.838450103370143,4.046126947191558,4.163679364434983,3.957524246256812,2.8546161738791858,3.646746541523349,3.2891726757284054,2.8546161738791858,3.2735860548772484,2.793153713676088,1.91419768302281,1.5994755527339313,1.5799628923975562,3.783614168193403,1.5195744653939944,2.7046585797564497,3.9625569818629343,3.9374759625495503,3.105767072863588,2.76257764219606,4.036421626548837,3.1423503881130648,3.874496716857254,4.115950799339949,1.8119932739150189,3.9934848130817855,2.0630218808606955,3.979537698926465,3.7292648259302705,4.0668784761285925,4.15989302381041,3.150936456807063,2.8546161738791858,3.9002009203771095,3.6983747846374175,3.3312776375336335,4.028479493236626,3.9140858511702143,2.7344888804072434,3.2735860548772484,3.2735860548772484,3.9598370120127777,3.8546583938072283,1.7412540770813827,1.4631845560438794,3.840640702203538,3.2735860548772484,3.975266761553999,4.167148500573095,3.1880300765814003,3.635324797873342,3.0796219531994775,4.244480561867235,1.754589138697628,3.6560544584984696,4.05159904332689
1.8560660476649522,3.0438369524269806,1.693001470564429,2.0572748377425873,3.095413241293436,2.0624610111828185,2.5892287778290166,2.2122751527618116,1.4589115854998012,1.7321993009790795,2.108195483308269,3.8257646395901266,2.8252172062584293,4.714394305143616,1.6994806463334604,3.475289562966995,3.7457538373077064,3.0308528597835593,2.7764460193515994,2.5980896613088387,4.068152274469023,2.9495349247510894,4.022760898397455,4.068152274469023,3.9481969826013366,3.976019337547572,2.9121365965490296,2.499786607809881,2.3031696908940793,3.2287032409079934,1.858111155828248,2.135543369583827,1.624535688540654,3.00589722390183,2.1916178144456513,3.7987737758153335,2.427057549756858,2.7701496022707603,1.9770210937670698,3.2509849090975305,3.7679823979734333,1.9824293489813378,3.660425883938376,2.54699987178417,2.147106497101176,2.5345948911230094,1.9007279049801897,1.8456828760196573,4.068152274469023,2.866015838557736,2.5423885905436876,3.188439909569722,3.732201870813224,2.5922411063483333,3.028033702848094,3.9481969826013366,3.9481969826013366,2.1690275207455016,3.5615058627894998,2.1423202747157633,1.4561609427234952,2.5108826000323816,3.9481969826013366,3.097500100302469,3.335746675105238,2.657320439268754,2.568727181496314,3.7954408015538883,2.512867909035189,2.02353250556655,3.2019079655792453,3.371713901653897
1.6306789263504426,2.6365767787534082,3.709399525300265,1.992065784711296,2.051293065848533,2.0633067286154922,2.2086773501289745,2.619695864414701,1.52299213501024,2.388331329469298,2.1281676692768707,2.7526651246861205,1.8889468216878273,1.705237379725677,4.76075737935193,3.514579917998736,2.425870486881502,2.275408854816388,2.372514953068065,1.8917170412825806,2.024140239457987,2.318078964259026,2.230291449936175,2.024140239457987,2.614756572896499,1.914557142464063,3.585819311677693,2.280719611589487,2.342766059582747,2.3452047131842377,2.643774941541643,1.912473400765225,1.4307356860877092,1.9827029297913197,3.3888548854982115,2.194025745905458,1.7360014674279294,2.2857169229753453,2.777288230005161,3.8728199417435856,2.0012615647901266,1.7055740688760817,2.240940771951618,2.5989402072496346,2.029666019849031,1.6562305240957171,1.8046211529897,1.8014360339189819,2.024140239457987,2.2147926744819664,1.8395581109328454,2.222006676597428,1.944403166371239,1.818350752498341,2.9401664290378746,2.614756572896499,2.614756572896499,3.5853726907314734,2.767697798088773,2.145262748118511,1.4443000051994526,2.283545488801572,2.614756572896499,2.257141719464329,2.8678317674673943,1.880231912682692,2.620066736780881,1.716467918307923,1.804165849430754,1.8853149157619011,1.8510054886986596,3.092268013797435
2.821161098045908,4.051688285717356,2.8619728419715655,4.251312824775841,4.330755929335785,3.208823166111843,3.9425172827887085,3.9449188879879444,2.3048562436223508,3.5845241918153663,3.746370248613861,3.9433858720892934,4.019954829944663,3.4738159873606014,3.4863829286892996,4.877321144547395,3.893759289828622,3.9699039565101684,3.9605627015741995,4.165361023284806,3.7202155018227865,3.7912358986572414,3.7536032119705953,3.7202155018227865,3.9784901776031285,3.936787648998152,4.001578380522847,3.167375006234368,4.20736273105533,3.8605676397676367,3.4545197841931925,4.121185996289369,4.174515458137169,4.053070486295078,3.8426121190729603,3.892863430167194,4.117783044454625,3.7800274579368107,3.7009780555681946,4.292941976726832,4.417299443558505,4.110154562630091,3.7978644634360523,4.082099832147635,4.032055926648667,4.152161594583849,3.6329940171030635,3.9613655651131094,3.7202155018227865,4.215848833405364,4.136526599848123,3.7805222679161736,4.356012652491583,4.086703972011386,2.9588572762905785,3.9784901776031285,3.9784901776031285,4.392251851871043,4.08939747943835,3.6175682923213657,4.39328194483506,4.131705036750704,3.9784901776031285,4.289331231975561,4.35213932498446,4.027568560715091,3.5850326851571523,4.158840199387612,4.32627129798707,3.9141037925448083,4.0199541405393,4.333461497625062
